id,Product,WasteType
1,Glass bottle,Plastic
2,Meal carton,General
3,Other carton,General
4,Clear plastic bottle,Plastic
5,Plastic bottle cap,Plastic
6,Clear plastic bottle,Plastic
7,Clear plastic bottle,Plastic
8,Plastic bottle cap,Plastic
9,Drink can,General
10,Drink can,General
11,Food Can,General
12,Food Can,General
13,Other plastic bottle,Plastic
14,Plastic bottle cap,Plastic
15,Pop tab,General
16,Pop tab,General
17,Aerosol,General
18,Clear plastic bottle,Plastic
19,Plastic bottle cap,Plastic
20,Clear plastic bottle,Plastic
21,Food Can,General
22,Glass cup,General
23,Pop tab,General
24,Glass bottle,Plastic
25,Other plastic wrapper,Plastic
26,Styrofoam piece,General
27,Styrofoam piece,General
28,Drink can,General
29,Plastic film,Plastic
30,Other carton,General
31,Other plastic,Plastic
32,Other plastic bottle,Plastic
33,Clear plastic bottle,Plastic
34,Glass bottle,Plastic
35,Drink carton,General
36,Drink carton,General
37,Plastic bottle cap,Plastic
38,Plastic bottle cap,Plastic
39,Plastic bottle cap,Plastic
40,Plastic bottle cap,Plastic
41,Metal bottle cap,Plastic
42,Clear plastic bottle,Plastic
43,Plastic bottle cap,Plastic
44,Plastic film,Plastic
45,Disposable food container,Plastic
46,Other plastic bottle,Plastic
47,Other plastic bottle,Plastic
48,Other plastic bottle,Plastic
49,Plastic bottle cap,Plastic
50,Aerosol,General
51,Normal paper,General
52,Paper cup,General
53,Drink can,General
54,Drink can,General
55,Pop tab,General
56,Food Can,General
57,Food Can,General
58,Pop tab,General
59,Pop tab,General
60,Food Can,General
61,Pop tab,General
62,Drink can,General
63,Pop tab,General
64,Aerosol,General
65,Other plastic bottle,Plastic
66,Other plastic bottle,Plastic
67,Plastic bottle cap,Plastic
68,Aerosol,General
69,Glass bottle,Plastic
70,Other plastic wrapper,Plastic
71,Glass bottle,Plastic
72,Other plastic wrapper,Plastic
73,Clear plastic bottle,Plastic
74,Drink can,General
75,Drink can,General
76,Drink can,General
77,Drink can,General
78,Pop tab,General
79,Plastic bottle cap,Plastic
80,Drink can,General
81,Drink can,General
82,Clear plastic bottle,Plastic
83,Drink can,General
84,Disposable food container,Plastic
283,Cigarette,General
85,Drink can,General
86,Drink can,General
87,Food Can,General
88,Food Can,General
89,Pop tab,General
90,Pop tab,General
91,Drink can,General
92,Single-use carrier bag,Plastic
93,Aerosol,General
94,Normal paper,General
95,Tissues,General
96,Toilet tube,General
97,Clear plastic bottle,Plastic
98,Glass bottle,Plastic
99,Plastic film,Plastic
100,Crisp packet,Plastic
101,Glass bottle,Plastic
102,Glass bottle,Plastic
103,Drink can,General
104,Pop tab,General
105,Normal paper,General
106,Drink can,General
107,Other plastic bottle,Plastic
108,Other plastic bottle,Plastic
109,Glass cup,General
110,Food Can,General
111,Food Can,General
112,Food Can,General
113,Pop tab,General
114,Pop tab,General
115,Food Can,General
116,Food Can,General
117,Food Can,General
118,Food Can,General
119,Food Can,General
120,Food Can,General
121,Food Can,General
122,Food Can,General
123,Food Can,General
124,Pop tab,General
125,Pop tab,General
126,Pop tab,General
127,Plastic lid,General
128,Metal lid,General
129,Egg carton,General
130,Egg carton,General
131,Egg carton,General
132,Egg carton,General
133,Plastic straw,General
284,Cigarette,General
285,Cigarette,General
134,Drink can,General
135,Drink can,General
136,Other carton,General
137,Crisp packet,Plastic
138,Normal paper,General
